,ICP,ReadingDate,ReadingTime,kWh
0,RN405,2022-01-01,00:00,285.84
1,RN405,2022-01-01,00:30,287.16
2,RN405,2022-01-01,01:00,307.08
3,RN405,2022-01-01,01:30,298.68
4,RN405,2022-01-01,02:00,278.4
5,RN405,2022-01-01,02:30,260.48
6,RN405,2022-01-01,03:00,305.44
7,RN405,2022-01-01,03:30,298.04
8,RN405,2022-01-01,04:00,258.64
9,RN405,2022-01-01,04:30,270.24
10,RN405,2022-01-01,05:00,281.52
11,RN405,2022-01-01,05:30,291.04
12,RN405,2022-01-01,06:00,282.24
13,RN405,2022-01-01,06:30,287.16
14,RN405,2022-01-01,07:00,272.36
15,RN405,2022-01-01,07:30,266.72
16,RN405,2022-01-01,08:00,242.6
17,RN405,2022-01-01,08:30,224.88
18,RN405,2022-01-01,09:00,208.72
19,RN405,2022-01-01,09:30,189.04
20,RN405,2022-01-01,10:00,188.36
21,RN405,2022-01-01,10:30,173.16
22,RN405,2022-01-01,11:00,157.8
23,RN405,2022-01-01,11:30,156.2
24,RN405,2022-01-01,12:00,144.4
25,RN405,2022-01-01,12:30,146.08
26,RN405,2022-01-01,13:00,141.44
27,RN405,2022-01-01,13:30,139.84
28,RN405,2022-01-01,14:00,144.16
29,RN405,2022-01-01,14:30,149.72
30,RN405,2022-01-01,15:00,182.04
31,RN405,2022-01-01,15:30,149.44
32,RN405,2022-01-01,16:00,158.72
33,RN405,2022-01-01,16:30,173.8
34,RN405,2022-01-01,17:00,172.84
35,RN405,2022-01-01,17:30,201.0
36,RN405,2022-01-01,18:00,213.4
37,RN405,2022-01-01,18:30,231.44
38,RN405,2022-01-01,19:00,250.44
39,RN405,2022-01-01,19:30,272.4
40,RN405,2022-01-01,20:00,280.32
41,RN405,2022-01-01,20:30,285.0
42,RN405,2022-01-01,21:00,287.36
43,RN405,2022-01-01,21:30,291.68
44,RN405,2022-01-01,22:00,288.64
45,RN405,2022-01-01,22:30,290.0
46,RN405,2022-01-01,23:00,286.64
47,RN405,2022-01-01,23:30,289.24
48,RN405,2022-01-02,00:00,278.96
49,RN405,2022-01-02,00:30,287.36
50,RN405,2022-01-02,01:00,306.24
51,RN405,2022-01-02,01:30,295.96
52,RN405,2022-01-02,02:00,298.2
53,RN405,2022-01-02,02:30,296.64
54,RN405,2022-01-02,03:00,302.48
55,RN405,2022-01-02,03:30,299.04
56,RN405,2022-01-02,04:00,301.44
57,RN405,2022-01-02,04:30,298.2
58,RN405,2022-01-02,05:00,298.12
59,RN405,2022-01-02,05:30,303.56
60,RN405,2022-01-02,06:00,297.2
61,RN405,2022-01-02,06:30,297.04
62,RN405,2022-01-02,07:00,306.04
63,RN405,2022-01-02,07:30,300.92
64,RN405,2022-01-02,08:00,291.48
65,RN405,2022-01-02,08:30,256.44
66,RN405,2022-01-02,09:00,229.16
67,RN405,2022-01-02,09:30,201.0
68,RN405,2022-01-02,10:00,196.48
69,RN405,2022-01-02,10:30,184.08
70,RN405,2022-01-02,11:00,186.52
71,RN405,2022-01-02,11:30,201.24
72,RN405,2022-01-02,12:00,171.72
73,RN405,2022-01-02,12:30,166.44
74,RN405,2022-01-02,13:00,164.8
75,RN405,2022-01-02,13:30,123.64
76,RN405,2022-01-02,14:00,122.6
77,RN405,2022-01-02,14:30,148.12
78,RN405,2022-01-02,15:00,174.84
79,RN405,2022-01-02,15:30,152.0
80,RN405,2022-01-02,16:00,171.92
81,RN405,2022-01-02,16:30,173.88
82,RN405,2022-01-02,17:00,179.48
83,RN405,2022-01-02,17:30,203.92
84,RN405,2022-01-02,18:00,212.16
85,RN405,2022-01-02,18:30,243.4
86,RN405,2022-01-02,19:00,244.0
87,RN405,2022-01-02,19:30,256.12
88,RN405,2022-01-02,20:00,260.84
89,RN405,2022-01-02,20:30,254.56
90,RN405,2022-01-02,21:00,270.36
91,RN405,2022-01-02,21:30,269.24
92,RN405,2022-01-02,22:00,264.96
93,RN405,2022-01-02,22:30,268.12
